Pathway	ES	NES	Nominal p	FDR q	Tag (%)	Gene (%)	Lead_genes
Inflammatory Response	-0.1396077076243334	-0.6904433671451591	0.9981308411214952	0.972623632134823	29/150	20.02%	HRH1;EBI3;NMUR1;RHOG;MSR1;IRAK2;SERPINE1;HAS2;APLNR;ITGB3;GPR183;ICOSLG;RGS16;SPHK1;STAB1;PTGER2;HPN;CX3CL1;PTGIR;C3AR1;P2RY2;HBEGF;CD40;INHBA;AXL;PTGER4;MYC;BST2;C5AR1
Apical Surface	-0.2099771717914787	-0.7436849643005433	0.844731977818854	0.9773699424822312	9/30	28.49%	HSPB1;CX3CL1;B4GALT1;FLOT2;RTN4RL1;AKAP7;EFNA5;THY1;ADIPOR2
TNF-alpha Signaling via NF-kB	-0.1641093815879619	-0.8307584839646832	0.857685009487666	0.8929670245871106	36/163	21.28%	GEM;CLCF1;DUSP5;PLPP3;MCL1;RNF19B;IER2;TUBB2A;ACKR3;NR4A3;TNIP2;YRDC;SERPINE1;B4GALT5;MAFF;GPR183;KLF2;ICOSLG;SPHK1;EGR2;DUSP2;PHLDA2;TRIP10;B4GALT1;MSC;PPP1R15A;HBEGF;EGR1;SDC4;INHBA;PTGER4;MYC;EIF1;DNAJB4;PER1;PNRC1
Glycolysis	-0.1655061533166357	-0.8365324213136958	0.8586762075134168	0.9153193274106836	44/159	24.37%	ARTN;PYGL;ALDH9A1;NDUFV3;SAP30;B4GALT2;B3GNT3;AK4;HAX1;PLOD2;GMPPB;PC;TPST1;GFPT1;RRAGD;ABCB6;GPC1;GOT1;SOD1;PDK3;GALK1;B4GALT1;TALDO1;ECD;CXCR4;GPC4;AGRN;SDC2;PRPS1;CLDN9;FAM162A;VCAN;MXI1;EXT1;CHST6;IDUA;PPIA;ISG20;AURKA;PGLS;TSTA3;VLDLR;ANG;HOMER1
Notch Signaling	-0.2435412411074995	-0.8462453829813009	0.7076923076923077	0.9333956101218844	8/26	22.34%	DTX1;HEYL;SAP30;RBX1;KAT2A;PPARD;DLL1;APH1A
Wnt-beta Catenin Signaling	-0.2289290677021977	-0.8470762360496719	0.7293233082706767	0.9718892412565212	9/34	20.54%	JAG2;NOTCH4;HDAC11;CSNK1E;DVL2;KAT2A;PPARD;MYC;DLL1
Bile Acid Metabolism	-0.1910360258044701	-0.8546857880561192	0.7416829745596869	0.9965094957659872	21/79	24.13%	ALDH9A1;DIO2;ABCA3;BCAR3;PAOX;SOD1;RBP1;ABCA6;HSD17B6;ABCA2;ISOC1;RXRA;SERPINA6;ABCA8;BMP6;IDH2;SLC29A1;PECR;SLC35B2;PXMP2;SLC23A1
KRAS Signaling Dn	-0.1953346789247417	-0.8827306630785141	0.7182539682539683	0.9606893659206164	26/82	29.57%	KMT2D;NUDT11;GTF3C5;SYNPO;COPZ2;TCF7L1;ACTC1;IGFBP2;CELSR2;KCND1;TGFB2;IDUA;HTR1D;GPR3;ARHGDIG;TG;SELENOP;SPTBN2;CCR8;SPHK2;GPRC5C;HSD11B2;AKR1B10;PRODH;ZBTB16;CPEB3
TGF-beta Signaling	-0.22318206095852	-0.9017098933289476	0.6511627906976745	0.9508064208639952	8/47	11.78%	CDK9;THBS1;SERPINE1;BCAR3;TGFB1;ID3;PPM1A;SKI
Estrogen Response Early	-0.1810102414379348	-0.9072331337907628	0.7077205882352942	0.9821939222938192	44/157	26.99%	IGFBP4;GJA1;SLC1A4;PDLIM3;INHBB;OLFML3;GAB2;ABCA3;PRSS23;SIAH2;CELSR1;ENDOD1;TUBB2B;SLC7A5;SYNGR1;KCNK5;GREB1;TFF1;TIAM1;ADCY9;RARA;CELSR2;B4GALT1;TTC39A;P2RY2;DHRS2;TMEM164;FAM102A;NBL1;MYC;ARL3;TJP3;TFAP2C;TSKU;UGCG;ABHD2;CISH;MYBBP1A;SYT12;OPN3;KLF4;KRT18;NCOR2;DEPTOR
